serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
97,Lone Fungus,/app/1674780/,4/7/23,214,194,9,203,86.38,Indie (23),"Action (1), Adventure (25), Indie (23)",Basti Games,Basti Games,Engine.ClickTeamFusion,4/5/23,94,175,213,247,4/12/23
98,Passpartout 2: The Lost Artist,/app/1571100/,4/4/23,591,272,16,288,86.37,Indie (23),"Casual (4), Indie (23), Simulation (28)",Flamebait Games,Flamebait Games,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4/4/23,94,267,285,591,4/8/23
99,A Bavarian Tale - Totgeschwiegen,/app/1694560/,2/2/23,57,144,5,149,86.32,Adventure (25),"Adventure (25), RPG (3)",Active Fungus Studios,Active Fungus Studios,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2/2/23,96,7,7,57,2/5/23
100,Coralina,/app/2246120/,1/6/23,16,192,9,201,86.31,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3)",ZNT Productions,Gabriel Maki,nan,1/30/23,95,0,2,16,1/8/23
101,King Of The Castle,/app/1839880/,3/2/23,321,488,38,526,86.29,Casual (4),"Casual (4), Indie (23), Strategy (2)",Team17,Tributary Games,Engine.Unity; SDK.UnityURP; SDK.cURL,3/2/23,93,24,89,321,3/5/23
102,ZED ZONE,/app/1211600/,3/30/23,2569,1332,135,1467,86.25,Indie (23),"Action (1), Indie (23), RPG (3), Simulation (28), Early Access (70)",INDIECN,Leven Liu,Engine.Unity; SDK.UnityBurst,3/29/23,90,865,998,2569,3/31/23
103,Omega Strikers,/app/1869590/,4/27/23,19257,10006,1292,11298,86.24,Free to Play (37),"Action (1), Free to Play (37), Strategy (2)",Odyssey Interactive,Odyssey Interactive,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2,4/7/23,88,10,39,19257,9/24/22
104,BETON BRUTAL,/app/2330500/,3/31/23,147,129,4,133,86.24,Indie (23),"Casual (4), Indie (23)",Jan Malitschek,Jan Malitschek,Engine.Unity; SDK.cURL,3/9/23,94,64,98,147,4/6/23
105,ENTROPOLY,/app/2226160/,3/2/23,41,102,2,104,86.23,Action (1),Action (1),Wills Blackett,Wills Blackett,nan,3/3/23,98,0,5,41,3/5/23
106,ふりかけ☆スペイシー,/app/1764700/,3/1/23,48,71,0,71,86.2,Indie (23),Indie (23),よんとんトマチン,よんとんトマチン,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/2/23,98,3,8,48,3/2/23
107,Cannibal Abduction,/app/2189640/,1/13/23,25,138,5,143,86.09,Adventure (25),"Adventure (25), Indie (23)",selewi,Tomás Esconjaureguy,Engine.Unity; SDK.SteamworksNET; SDK.cURL,12/25/22,95,0,3,25,1/19/23
108,Graze Counter GM,/app/1486440/,1/18/23,72,84,1,85,86.05,Action (1),"Action (1), Casual (4)",Henteko Doujin,Bikkuri Software,Engine.GameMaker,11/16/22,98,1,7,72,1/19/23
109,The Multi-Medium,/app/2077380/,1/20/23,15,84,1,85,86.05,Indie (23),"Adventure (25), Casual (4), Indie (23)",Micah Boursier,Micah Boursier,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,1/16/23,98,0,2,15,1/21/23
110,Basements n' Basilisks: Storms of Sorcery,/app/2236860/,2/27/23,20,98,2,100,86.04,Adventure (25),"Adventure (25), Casual (4), RPG (3), Simulation (28)",eNVy softworks,eNVy softworks,Engine.Unity,2/23/23,98,0,2,20,2/27/23
111,Partum Artifex,/app/2069760/,2/26/23,17,83,1,84,86,Adventure (25),Adventure (25),DalaKoala Games,DalaKoala Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,1/27/23,98,0,4,17,2/27/23
112,Plan B: Terraform,/app/1894430/,2/15/23,2352,1072,108,1180,85.99,Early Access (70),"Indie (23), Simulation (28), Strategy (2), Early Access (70)",Gaddy Games,Gaddy Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,12/8/22,90,168,172,2352,2/15/23
113,Dreams in the Witch House,/app/1902850/,2/16/23,42,123,4,127,85.98,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Bonus Stage Publishing,Atom Brain Games,Engine.AdventureGameStudio; SDK.SDL,2/17/23,96,3,7,42,2/19/23
114,Planet Cube: Edge,/app/791200/,2/23/23,14,97,2,99,85.98,Action (1),"Action (1), Adventure (25), Indie (23)",Firestoke,Sunna Entertainment,Engine.Unity; SDK.EpicOnlineServices; SDK.FMOD; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2/4/23,97,0,3,14,2/23/23
115,The Pale Beyond,/app/1266030/,2/24/23,738,731,68,799,85.94,Indie (23),"Adventure (25), Indie (23), RPG (3), Simulation (28), Strategy (2)",Fellow Traveller,Bellular Studios,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2/24/23,91,27,32,738,2/25/23
116,Kujlevka,/app/1365720/,4/6/23,73,82,1,83,85.94,Adventure (25),Adventure (25),Crytivo,Callback,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,4/6/23,98,16,28,73,4/8/23
117,vivid/stasis,/app/2093940/,3/7/23,53,109,3,112,85.92,Indie (23),"Indie (23), Early Access (70)",Hajimeli,Team Vividstasis,Engine.GameMaker,2/22/23,97,13,26,53,3/8/23
118,Aces and Adventures,/app/1815570/,2/23/23,2455,879,87,966,85.82,RPG (3),"Adventure (25), RPG (3), Strategy (2)",Yogscast Games,Triple.B.Titles,Engine.Unity; SDK.NVIDIA_DLSS; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,2/23/23,91,103,112,2455,2/28/23
119,Tower Tactics: Liberation,/app/1709900/,2/6/23,808,751,72,823,85.79,Strategy (2),"Indie (23), Strategy (2)",AsraWorks,AsraWorks,Engine.Godot,2/6/23,91,77,85,808,2/12/23
120,一起击碎吧,/app/2354650/,4/6/23,28,62,0,62,85.63,Casual (4),"Casual (4), Free to Play (37), Racing (9), RPG (3), Strategy (2), Early Access (70)",JS-game,JS-game,SDK.CEF,3/11/23,100,0,7,28,4/9/23
121,Time Wasters,/app/1290330/,3/10/23,934,695,67,762,85.62,Action (1),"Action (1), Casual (4), Indie (23), RPG (3), Early Access (70)",Proton Studio,Proton Studio,Engine.Unity; SDK.UnityBurst,4/6/23,91,280,296,934,3/12/23
122,Kandria,/app/1261430/,1/11/23,26,90,2,92,85.61,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Shirakumo Games,Shirakumo Games,SDK.OpenSSL; SDK.Vorbis,2/15/23,96,1,2,26,1/12/23
123,Juno: New Origins,/app/870200/,1/26/23,780,1953,229,2182,85.6,Simulation (28),"Indie (23), Simulation (28)",Jundroo LLC,Jundroo LLC,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,1/25/23,89,128,134,780,1/29/23
124,Hell Of An Office,/app/1640890/,3/14/23,26,76,1,77,85.58,Action (1),"Action (1), Indie (23), Early Access (70)",Joystick Ventures,43 Studios,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,3/17/23,98,1,4,26,3/14/23
125,Confabulation,/app/2246400/,1/13/23,13,61,0,61,85.57,Indie (23),"Adventure (25), Casual (4), Indie (23)",Authogin,Authogin,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,12/30/22,100,0,4,13,2/19/23
126,Good Pizza Great Pizza,/app/770810/,1/6/23,145,1453,164,1617,85.55,Simulation (28),"Casual (4), Indie (23), Simulation (28)",TapBlaze,TapBlaze,Engine.Cocos; SDK.Discord; SDK.OpenAL; SDK.Vorbis; SDK.cURL,4/3/23,89,80,80,145,2/12/23
127,Lords of Infinity,/app/2169120/,3/2/23,270,114,4,118,85.55,Indie (23),"Casual (4), Indie (23), RPG (3)",Hosted Games,Hosted Games,Container.Electron,12/7/22,96,8,15,270,3/2/23
128,Apex Point,/app/2102520/,3/5/23,385,604,57,661,85.52,Simulation (28),"Indie (23), Racing (9), Simulation (28), Early Access (70)",Apex Studio,Apex Studio,Engine.Unity; SDK.FMOD; SDK.NVIDIA_DLSS; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,3/19/23,91,84,105,385,3/19/23
129,Looking Up I See Only A Ceiling,/app/1742930/,3/9/23,12,147,7,154,85.5,Adventure (25),"Adventure (25), Indie (23)",silver978,silver978,Engine.Godot,4/8/23,95,1,5,12,3/9/23
130,Magic Tower & Maidens,/app/2090950/,2/27/23,61,124,5,129,85.47,Casual (4),Casual (4),The Magic Tower Girl Studio,The Magic Tower Girl Studio,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/3/23,96,0,2,61,2/27/23
131,Robolife2-Nova Duty,/app/1777390/,3/11/23,892,313,24,337,85.45,Simulation (28),Simulation (28),Critical Bliss,Barance Studio,Engine.Unity; SDK.UnityURP; SDK.cURL,3/16/23,93,118,118,892,3/11/23
132,Revenant,/app/2317510/,3/29/23,20,74,1,75,85.45,Action (1),"Action (1), Free to Play (37), Indie (23)",Mayfly,Mayfly,Engine.Unity; SDK.FMOD; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/21/23,98,4,10,20,3/30/23
133,Crafty Survivors,/app/2137760/,3/15/23,374,198,12,210,85.44,Action (1),"Action (1), Early Access (70)",Flannel Bear Games,Flannel Bear Games,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/15/23,93,45,55,374,3/25/23
134,Emberfate: Tempest of Elements,/app/2164490/,1/27/23,21,59,0,59,85.42,Indie (23),Indie (23),Wind Chimes Games Limited,Wind Chimes Games Limited,Engine.RenPy,12/26/22,100,1,3,21,1/29/23
135,DIG - Deep In Galaxies,/app/1442840/,3/8/23,40,73,1,74,85.39,Indie (23),"Action (1), Adventure (25), Indie (23)",🚀 Raiser Games,Molton Studio,Engine.GameMaker,4/14/23,98,5,11,40,3/20/23
136,與經紀人戀愛是絕對禁止2,/app/2053940/,3/12/23,518,264,19,283,85.38,Simulation (28),"Casual (4), Indie (23), RPG (3), Simulation (28)",Mango Party,樹懶叫工作室,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,3/14/23,93,81,81,518,3/13/23
137,It Comes In Waves,/app/2342980/,4/5/23,19,86,2,88,85.37,Adventure (25),"Action (1), Adventure (25)",Merlino Games,Antonio Freyre,nan,3/29/23,97,1,3,19,4/5/23
138,Weird and Unfortunate Things Are Happening,/app/2274410/,2/6/23,29,58,0,58,85.35,RPG (3),"Free to Play (37), Indie (23), RPG (3)",Sapphire Dream Games,Sapphire Dream Games,Engine.RPGMaker,3/10/23,100,2,7,29,2/18/23
139,EVERSPACE™ 2,/app/1128920/,4/6/23,9760,5400,732,6132,85.31,Action (1),"Action (1), Adventure (25), RPG (3), Simulation (28)",ROCKFISH Games,ROCKFISH Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,4/6/23,87,"7,670","7,720",9760,4/9/23
140,SHUFFLE! Episode 2 ~Kami ni mo Akuma ni mo Nerawareteiru Otoko~,/app/2321180/,3/10/23,89,120,5,125,85.27,Adventure (25),"Adventure (25), Casual (4)",HIKARI FIELD,Navel,nan,3/10/23,96,13,13,89,3/11/23
141,Handyman Legend,/app/2127010/,3/10/23,1002,484,45,529,85.21,Indie (23),"Casual (4), Indie (23), RPG (3), Simulation (28)",SupaShinKen Studio,SupaShinKen Studio,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/3/23,91,117,117,1002,3/10/23
142,觅光：第一章 - Seeking Light : Chapter 1,/app/2305480/,3/25/23,28,56,0,56,85.2,RPG (3),"Casual (4), Free to Play (37), Indie (23), RPG (3), Simulation (28)",Eternal Dream,莓莓动物园,SDK.Greenworks; SDK.NWJS; SDK.NodeJS,3/23/23,100,5,13,28,3/29/23
143,Postmouse,/app/2273550/,1/30/23,123,482,45,527,85.18,Adventure (25),"Adventure (25), Free to Play (37), Indie (23)",The Animation Workshop,Critters Collective,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,1/13/23,91,16,25,123,2/12/23
144,Horny Warp,/app/1539160/,2/17/23,218,210,14,224,85.18,Adventure (25),"Adventure (25), Casual (4)",IlluminatiGames,IlluminatiGames,Engine.Unity; SDK.cURL,2/9/23,93,10,19,218,2/18/23
145,Corsair`s Madness Prologue: Jungle`s Island,/app/2190570/,2/3/23,46,69,1,70,85.11,Action (1),"Action (1), Adventure (25), Indie (23)",ManyDev Studio,Old Prawn,Engine.GameMaker,4/11/23,98,0,1,46,2/3/23
146,Backfirewall_,/app/1920100/,1/30/23,86,178,11,189,85.08,Adventure (25),"Adventure (25), Casual (4), Indie (23)",All in! Games,Naraven Games,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,1/30/23,94,2,4,86,1/31/23
147,Troublemaker,/app/1498740/,3/31/23,374,458,43,501,85.05,Indie (23),"Action (1), Adventure (25), Indie (23)",Freedom Games,Gamecom Team,nan,3/31/23,90,43,54,374,4/1/23
148,Zup! Q,/app/2206560/,3/8/23,33,68,1,69,85.04,Casual (4),"Casual (4), Indie (23)",Quiet River,Quiet River,nan,1/26/23,98,0,4,33,3/8/23
149,Witch's Garden,/app/2347380/,4/7/23,117,68,1,69,85.04,Adventure (25),"Adventure (25), Casual (4)",HIKARI FIELD,Windmill Oasis,nan,3/17/23,98,79,87,117,4/9/23
150,Drawing From Memory,/app/2225530/,2/8/23,134,147,8,155,85.03,Casual (4),"Casual (4), Indie (23)",Lekker spelen,Lekker spelen,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2/9/23,94,0,13,134,2/8/23
151,FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,/app/2130460/,3/9/23,1372,734,79,813,84.93,Adventure (25),Adventure (25),KOEI TECMO GAMES CO. LTD.,KOEI TECMO GAMES CO. LTD.,nan,3/6/23,90,90,118,1372,3/9/23
152,Temple Of Snek,/app/1208590/,2/15/23,21,134,7,141,84.9,Action (1),"Action (1), Adventure (25), Indie (23)",Pixeljam,Aetheric Games,Engine.Unreal; SDK.CEF; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vorbis; SDK.XAudio2,2/14/23,95,0,1,21,8/18/21
153,我在终点线等你,/app/2215290/,3/24/23,22,66,1,67,84.89,RPG (3),"Adventure (25), Casual (4), Indie (23), RPG (3)",DreaMory,DreaMory,Engine.Unity; SDK.SteamworksNET,1/1/23,98,0,3,22,3/24/23
154,上古传说,/app/2321080/,4/2/23,126,219,16,235,84.85,Action (1),"Action (1), Free to Play (37), RPG (3)",上古传说,上古传说,SDK.CEF,3/8/23,92,55,72,126,4/9/23
155,9 Childs Street,/app/1895890/,2/16/23,30,235,18,253,84.79,Indie (23),Indie (23),N4bA,N4bA,Engine.Unity; SDK.Steam_Audio; SDK.UnityHDRP; SDK.UnityURP; SDK.cURL,1/29/23,92,9,17,30,2/20/23
156,KOP KILLER 22XX,/app/2217680/,3/7/23,6,51,0,51,84.78,Early Access (70),"Action (1), Indie (23), Early Access (70)",Morningstar Game Studio,Morningstar Game Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,3/7/23,100,0,1,6,3/9/23
157,Souls of White Star,/app/1772050/,3/30/23,86,88,3,91,84.73,Indie (23),"Adventure (25), Indie (23), RPG (3), Strategy (2), Early Access (70)",IndieArk,Souls of Star Game Lab.,Engine.Unity; SDK.SteamworksNET; SDK.Wwise,4/3/23,97,20,33,86,4/5/23
158,Organs Please,/app/1593780/,4/5/23,62,150,9,159,84.72,Strategy (2),"Indie (23), RPG (3), Simulation (28), Strategy (2)",HeroCraft PC,TECHHOME,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4/5/23,93,10,18,62,11/17/22
159,Selene ~Apoptosis~,/app/1398210/,2/17/23,704,1527,192,1719,84.71,Adventure (25),Adventure (25),Nupu Neko Dev,Viscum key,Engine.RenPy,2/19/23,88,63,83,704,2/19/23
160,Ash of Gods: The Way Prologue,/app/2304670/,3/9/23,747,250,20,270,84.71,Strategy (2),"Indie (23), Strategy (2)",AurumDust,AurumDust,Engine.Unity; SDK.FMOD,3/9/23,92,5,8,747,3/9/23
161,Zero-G Gunfight,/app/1312060/,2/17/23,6,50,0,50,84.69,Indie (23),Indie (23),First Peoples Digital,Devil's Cider Games,Engine.Unity,3/14/23,100,1,1,6,3/16/23
162,In Sink: A Co-Op Escape Prologue,/app/2289970/,2/25/23,1323,1167,142,1309,84.64,Casual (4),"Casual (4), Free to Play (37), Strategy (2)",Clock Out Games,Clock Out Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2/25/23,89,219,411,1323,2/28/23
163,Tower Escape,/app/2009860/,2/15/23,283,213,16,229,84.64,Indie (23),"Casual (4), Indie (23), Strategy (2)",Final Screw,Final Screw,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/15/23,92,37,56,283,2/19/23
164,ITRP _ Aero Star,/app/2180150/,3/9/23,91,75,2,77,84.63,Action (1),"Action (1), Indie (23), Racing (9)",Unhexigion,Unhexigion,nan,3/24/23,97,0,1,91,3/9/23
165,Aery - Calm Mind 3,/app/2154400/,3/31/23,5,49,0,49,84.6,Casual (4),"Casual (4), Indie (23), Simulation (28)",EpiXR Games UG,EpiXR Games UG,nan,9/14/22,100,0,0,5,4/1/23
166,Fateweaver: The Alchemist's Quandary,/app/2231900/,2/27/23,8,49,0,49,84.6,RPG (3),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Randumb Studios,Randumb Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,12/16/22,100,0,2,8,2/27/23
167,Tanky Tanks 2,/app/2241980/,3/20/23,6,49,0,49,84.6,Action (1),"Action (1), Casual (4), Indie (23)",EpiXR Games UG,EpiXR Games UG,nan,12/31/22,100,0,0,6,3/21/23
168,Girl & Gem Magic,/app/2122070/,3/31/23,85,211,16,227,84.57,Casual (4),"Casual (4), Indie (23), Strategy (2)",Twilight Sonata Studio,Twilight Sonata Studio,Engine.Unity; SDK.SteamworksNET,3/31/23,92,1,4,85,3/31/23
169,Battle Ram,/app/1262060/,1/6/23,4403,887,104,991,84.56,Indie (23),"Action (1), Adventure (25), Indie (23), Simulation (28), Sports (18)",khukhrovr,Anatoliy Loginovskikh,nan,2/10/23,89,7,15,4403,2/12/23
170,Relic Dudes,/app/2116260/,2/3/23,86,173,12,185,84.49,Action (1),"Action (1), Early Access (70)",Sad Socket,Achenar Studios,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2/2/23,93,3,4,86,2/3/23
171,Let's Pet Pets,/app/2254600/,1/17/23,12,61,1,62,84.49,Casual (4),"Casual (4), Indie (23), Simulation (28), Early Access (70)",Mathew Kelly,Mathew Kelly,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2/1/23,98,0,4,12,2/2/23
172,Final Profit: A Shop RPG,/app/1705140/,3/6/23,34,73,2,75,84.48,Indie (23),"Adventure (25), Indie (23), RPG (3), Simulation (28), Strategy (2)",Brent Arnold,Brent Arnold,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,3/11/23,97,11,22,34,3/26/23
173,The Farmer Was Replaced,/app/2060160/,2/10/23,23,47,0,47,84.41,Simulation (28),"Casual (4), Indie (23), Simulation (28), Strategy (2), Early Access (70)",Timon Herzog,Timon Herzog,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,9/18/22,100,8,13,23,2/20/23
174,ARK and ADE,/app/1599000/,3/2/23,13,72,2,74,84.4,Action (1),"Action (1), Indie (23)",Beyond Frames,Castello Inc,Engine.Unreal; SDK.CEF; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,3/2/23,97,0,1,13,10/26/21
175,Aery VR - A Journey Beyond Time,/app/2173650/,3/24/23,4,60,1,61,84.4,Simulation (28),"Casual (4), Indie (23), Simulation (28)",EpiXR Games UG,EpiXR Games UG,nan,11/22/22,96,0,0,4,3/27/23
176,Gone Rogue,/app/1803600/,3/1/23,59,83,3,86,84.39,Adventure (25),"Action (1), Adventure (25), Indie (23), RPG (3)",AskaLot Games,AskaLot Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst,2/17/23,96,13,15,59,3/12/23
177,Nebula,/app/2101250/,1/25/23,67,82,3,85,84.31,Action (1),"Action (1), Indie (23)",JuTek Pixel,JuTek Pixel,Engine.Unity,1/13/23,95,2,6,67,2/2/23
178,Nebula,/app/2101250/,1/25/23,67,82,3,85,84.31,Action (1),"Action (1), Indie (23), Early Access (70)",Szekretar,Szekretar,Engine.Unity,5/14/16,,0,0,3,6/2/16
179,Nebula,/app/468130/,6/2/16,3,4,0,4,69.2,Action (1),"Action (1), Indie (23)",JuTek Pixel,JuTek Pixel,Engine.Unity,1/13/23,95,2,6,67,2/2/23
180,Nebula,/app/468130/,6/2/16,3,4,0,4,69.2,Action (1),"Action (1), Indie (23), Early Access (70)",Szekretar,Szekretar,Engine.Unity,5/14/16,,0,0,3,6/2/16
181,The Space-Eating Croc,/app/2020090/,3/4/23,12,59,1,60,84.31,Indie (23),"Adventure (25), Casual (4), Indie (23)",PsychoFlux Entertainment,Chalkseagull,Engine.RPGMaker,3/4/23,98,0,3,12,10/28/22
182,Super Cakeboy,/app/2319580/,3/16/23,23,46,0,46,84.31,Action (1),"Action (1), Free to Play (37), Indie (23)",Suits & Sandals,Suits &amp; Sandals,Engine.GameMaker; SDK.OpenAL,2/22/23,100,2,4,23,3/26/23
183,东方雪莲华 ～ Abyss Soul Lotus.,/app/1000440/,2/2/23,290,309,29,338,84.25,Indie (23),"Action (1), Indie (23)",雨夜枫雪制作组,雨夜枫雪制作组,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/27/23,91,6,11,290,2/3/23
184,Crush the Industry,/app/1098610/,3/31/23,112,70,2,72,84.24,Strategy (2),"Indie (23), RPG (3), Simulation (28), Strategy (2), Early Access (70)",Cognoggin Games,Cognoggin Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/19/23,97,18,29,112,4/1/23
185,Robo Maestro,/app/1808490/,1/20/23,12,58,1,59,84.22,Indie (23),Indie (23),Joost van Dongen,Joost van Dongen,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,11/5/21,98,1,2,12,1/22/23
186,Powerful Courses,/app/2092330/,3/6/23,7,45,0,45,84.21,Simulation (28),"Casual (4), Indie (23), RPG (3), Simulation (28), Sports (18), Strategy (2)",General Script Studio,Serhii Khramov,SDK.OpenAL,3/6/23,100,0,0,7,3/10/23
187,Cataclysm: Dark Days Ahead,/app/2330750/,3/31/23,114,120,7,127,84.16,RPG (3),"Adventure (25), RPG (3)",KorGgenT,CleverRaven,nan,4/10/23,94,104,109,114,4/9/23
188,WooLoop,/app/1878910/,1/13/23,404,829,101,930,84.14,Casual (4),"Casual (4), Indie (23), Simulation (28)",ToastieLabs,ToastieLabs,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,1/16/23,89,56,64,404,1/21/23
189,8-Bit Adventures 2,/app/733110/,1/31/23,64,100,5,105,84.13,RPG (3),"Adventure (25), Indie (23), RPG (3)",Critical Games,Critical Games,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,12/23/22,95,1,4,64,2/4/23
190,POOSTALL Royale,/app/2362740/,4/1/23,164,572,65,637,84.1,Free to Play (37),"Action (1), Free to Play (37)",Running With Scissors,RWS C Team,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vorbis; SDK.XAudio2,4/2/23,89,1,6,164,4/3/23
191,Deceive Inc.,/app/820520/,3/21/23,2310,1419,190,1609,84.06,Action (1),"Action (1), Indie (23), Strategy (2)",Tripwire Presents,Sweet Bandits Studios,AntiCheat.EasyAntiCheat; Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2,3/31/23,87,"1,351","1,857",2310,4/9/23
192,Waves of Steel,/app/1482750/,2/6/23,112,278,26,304,84.04,Indie (23),"Action (1), Indie (23), Simulation (28)",TMA Games LLC,TMA Games LLC,Engine.Unity,2/5/23,91,4,10,112,2/12/23
193,Methods: The Canada Files,/app/2063530/,2/1/23,19,56,1,57,84.03,Indie (23),"Indie (23), Early Access (70)",LockedOn Games,LockedOn Games,Engine.RenPy,2/19/23,98,0,1,19,2/2/23
194,Brave Soldier - Invasion of Cyborgs,/app/2287760/,2/3/23,6,43,0,43,84,Indie (23),"Action (1), Adventure (25), Indie (23)",JM Neto Game Dev,JM Neto Game Dev,SDK.NWJS; SDK.NodeJS,1/25/23,100,0,1,6,2/3/23
195,Breakers Collection,/app/1786230/,1/12/23,78,67,2,69,83.99,Action (1),"Action (1), Casual (4)",QUByte Interactive,QUByte Interactive,Engine.Unity,1/11/23,97,0,10,78,1/12/23
196,Loretta,/app/1592540/,2/16/23,48,135,9,144,83.97,Adventure (25),"Adventure (25), Casual (4), Indie (23)",DANGEN Entertainment,Yakov Butuzoff,Engine.GameMaker,2/16/23,93,8,9,48,4/1/23
197,Evacuation,/app/2224920/,1/6/23,119,584,68,652,83.95,Action (1),"Action (1), Adventure (25), Free to Play (37)",SMRC,Evac Dev. Team,Engine.Source; SDK.Bink_Video; SDK.CEF; SDK.Miles_Sound_System; SDK.SDL,11/29/22,89,9,10,119,1/7/23
